vertical,question,answer,tone,source_notes
"home_garden","is assembly required?","Most items ship with basic hardware and a guide. I can send the PDF manual or recommend assembly services in your area.","friendly, concise, ≤60 words","faqpack:home_garden/assembly_requirements"
"home_garden","will the wood look exactly like photos?","Natural materials vary in grain and tone; minor differences are normal. We try to match photography as closely as possible.","friendly, concise, ≤60 words","faqpack:home_garden/color_variation_disclaimer"
"home_garden","my item arrived damaged","I’m sorry about that. Share your order # and a photo of the issue—we’ll rush replacements or set up a repair.","friendly, concise, ≤60 words","faqpack:home_garden/damaged_missing_parts"
"home_garden","how do you deliver furniture?","Large items ship via carrier with scheduling. You’ll receive a call/text to pick a delivery window.","friendly, concise, ≤60 words","faqpack:home_garden/delivery_scheduling_large_items"
"home_garden","will this fit my space?","Here are the key dimensions: {{dimensions_summary}}. Tip: tape the footprint on your floor to confirm fit and clearance.","friendly, concise, ≤60 words","faqpack:home_garden/dimensions_will_it_fit"
"home_garden","is this okay outdoors?","This item is rated for {{rating}} use. For outdoor pieces, we recommend covers and winter storage to extend life.","friendly, concise, ≤60 words","faqpack:home_garden/indoor_outdoor_rating"
"home_garden","can I pick up locally?","We offer local pickup at {{warehouse_city}} and optional white-glove delivery in select areas.","friendly, concise, ≤60 words","faqpack:home_garden/local_pickup_white_glove"
"home_garden","what is it made of?","Materials: {{materials}}. Care: {{care_instructions_short}}. I can send the full care guide if you’d like.","friendly, concise, ≤60 words","faqpack:home_garden/materials_care"
"home_garden","when will backorders ship?","Current ETA for {{product_name}} is {{eta_date}}. I can email you as soon as it’s ready to ship.","friendly, concise, ≤60 words","faqpack:home_garden/preorder_backorder_eta"
"home_garden","can I return a sofa?","Oversized returns are accepted within {{return_window_days}} days. A {{restock_fee_percent}}% restocking fee may apply; we’ll help arrange pickup.","friendly, concise, ≤60 words","faqpack:home_garden/returns_oversize"
